Temperature,Humidity,Holidays    0 for close   1 for open,year,month,day,hour,minute,second,weekday,Load
22,0.743333333,1,2009,1,22,8,0,0,3,45611
25,0.64,1,2009,1,22,9,0,0,3,56115
27,0.603333333,1,2009,1,22,10,0,0,3,61489
29,0.566666667,1,2009,1,22,11,0,0,3,62736
30,0.53,1,2009,1,22,12,0,0,3,62596
31,0.536666667,1,2009,1,22,13,0,0,3,62356
31,0.543333333,1,2009,1,22,14,0,0,3,63100
31,0.55,1,2009,1,22,15,0,0,3,61997
33,0.646666667,1,2009,1,22,16,0,0,3,59762
32,0.743333333,1,2009,1,22,17,0,0,3,51594
30,0.84,1,2009,1,22,18,0,0,3,48710
28,0.863333333,1,2009,1,22,19,0,0,3,48297
27,0.886666667,1,2009,1,22,20,0,0,3,48213
25,0.91,1,2009,1,22,21,0,0,3,40498
25,0.913333333,1,2009,1,22,22,0,0,3,35243
24,0.916666667,1,2009,1,22,23,0,0,3,31475
24,0.92,1,2009,1,23,0,0,0,4,28433
23,0.923333333,1,2009,1,23,1,0,0,4,26824
23,0.926666667,1,2009,1,23,2,0,0,4,25752
22,0.93,1,2009,1,23,3,0,0,4,24865
22,0.93,1,2009,1,23,4,0,0,4,24835
22,0.93,1,2009,1,23,5,0,0,4,25667
22,0.93,1,2009,1,23,6,0,0,4,28164
22,0.83,1,2009,1,23,7,0,0,4,34633
22,0.73,1,2009,1,23,8,0,0,4,45508
24,0.63,1,2009,1,23,9,0,0,4,55157
27,0.59,1,2009,1,23,10,0,0,4,60786
29,0.55,1,2009,1,23,11,0,0,4,62334
30,0.51,1,2009,1,23,12,0,0,4,61078
32,0.553333333,1,2009,1,23,13,0,0,4,60426
32,0.596666667,1,2009,1,23,14,0,0,4,61308
32,0.64,1,2009,1,23,15,0,0,4,61568
32,0.72,1,2009,1,23,16,0,0,4,58669
32,0.8,1,2009,1,23,17,0,0,4,49944
30,0.88,1,2009,1,23,18,0,0,4,47593
29,0.89,1,2009,1,23,19,0,0,4,50236
27,0.9,1,2009,1,23,20,0,0,4,48140
26,0.91,1,2009,1,23,21,0,0,4,40927
25,0.92,1,2009,1,23,22,0,0,4,36257
25,0.93,1,2009,1,23,23,0,0,4,32227
24,0.94,1,2009,1,24,0,0,0,5,28876
23,0.94,1,2009,1,24,1,0,0,5,27187
23,0.94,1,2009,1,24,2,0,0,5,25900
23,0.94,1,2009,1,24,3,0,0,5,25127
22,0.936666667,1,2009,1,24,4,0,0,5,24694
22,0.933333333,1,2009,1,24,5,0,0,5,24868
22,0.93,1,2009,1,24,6,0,0,5,26034
22,0.84,1,2009,1,24,7,0,0,5,27188
22,0.75,1,2009,1,24,8,0,0,5,32187
25,0.66,1,2009,1,24,9,0,0,5,41960
27,0.646666667,1,2009,1,24,10,0,0,5,47645
30,0.633333333,1,2009,1,24,11,0,0,5,48453
